name	commits
tensorflow/compiler/tests/matrix_band_part_test.py	3
tensorflow/compiler/tests/matrix_triangular_solve_op_test.py	4
tensorflow/compiler/tests/momentum_test.py	5
tensorflow/compiler/tests/nary_ops_test.py	6
tensorflow/compiler/tests/nullary_ops_test.py	3
tensorflow/compiler/tests/oom_test.py	5
tensorflow/compiler/tests/placeholder_test.py	3
tensorflow/compiler/tests/plugin.bzl	6
tensorflow/compiler/tests/pooling_ops_3d_test.py	6
tensorflow/compiler/tests/pooling_ops_test.py	6
tensorflow/compiler/tests/powersign_test.py	2
tensorflow/compiler/tests/proximal_adagrad_test.py	2
tensorflow/compiler/tests/proximal_gradient_descent_test.py	2
tensorflow/compiler/tests/qr_op_test.py	3
tensorflow/compiler/tests/random_ops_test.py	6
tensorflow/compiler/tests/randomized_tests.cc	6
tensorflow/compiler/tests/reduce_ops_test.py	6
tensorflow/compiler/tests/reduce_window_test.py	3
tensorflow/compiler/tests/reshape_op_test.py	2
tensorflow/compiler/tests/reverse_ops_test.py	4
tensorflow/compiler/tests/reverse_sequence_op_test.py	3
tensorflow/compiler/tests/rmsprop_test.py	4
tensorflow/compiler/tests/scan_ops_test.py	3
tensorflow/compiler/tests/scatter_nd_op_test.py	3
tensorflow/compiler/tests/segment_reduction_ops_test.py	6
tensorflow/compiler/tests/slice_ops_test.py	6
tensorflow/compiler/tests/sort_ops_test.py	6
tensorflow/compiler/tests/spacetobatch_op_test.py	6
tensorflow/compiler/tests/sparse_to_dense_op_test.py	3
tensorflow/compiler/tests/stack_ops_test.py	4
tensorflow/compiler/tests/stateless_random_ops_test.py	5
tensorflow/compiler/tests/tensor_array_ops_test.py	6
tensorflow/compiler/tests/ternary_ops_test.py	6
tensorflow/compiler/tests/test_utils.py	1
tensorflow/compiler/tests/unary_ops_test.py	6
tensorflow/compiler/tests/variable_ops_test.py	6
tensorflow/compiler/tests/while_test.py	3
tensorflow/compiler/tests/xla_device_gpu_test.py	2
tensorflow/compiler/tests/xla_device_test.py	6
tensorflow/compiler/tests/xla_ops_test.py	1
tensorflow/compiler/tests/xla_test.py	6
tensorflow/compiler/tests/xla_test_test.py	1
tensorflow/compiler/tf2xla/BUILD	6
tensorflow/compiler/tf2xla/cc/BUILD	6
tensorflow/compiler/tf2xla/const_analysis.cc	6
tensorflow/compiler/tf2xla/const_analysis.h	2
tensorflow/compiler/tf2xla/const_analysis_test.cc	3
tensorflow/compiler/tf2xla/cpu_function_runtime.cc	6
tensorflow/compiler/tf2xla/cpu_function_runtime.h	2
tensorflow/compiler/tf2xla/cpu_function_runtime_test.cc	2
tensorflow/compiler/tf2xla/dump_graph.cc	5
tensorflow/compiler/tf2xla/dump_graph.h	1
tensorflow/compiler/tf2xla/dump_graph_flags.cc	1
tensorflow/compiler/tf2xla/dump_graph_flags.h	1
tensorflow/compiler/tf2xla/functionalize_cond.cc	6
tensorflow/compiler/tf2xla/functionalize_cond.h	1
tensorflow/compiler/tf2xla/functionalize_cond_test.cc	3
tensorflow/compiler/tf2xla/functionalize_control_flow.cc	6
tensorflow/compiler/tf2xla/functionalize_control_flow.h	4
tensorflow/compiler/tf2xla/functionalize_control_flow_test.cc	6
tensorflow/compiler/tf2xla/functionalize_control_flow_util.cc	1
tensorflow/compiler/tf2xla/functionalize_control_flow_util.h	2
tensorflow/compiler/tf2xla/functionalize_while.cc	3
tensorflow/compiler/tf2xla/functionalize_while.h	1
tensorflow/compiler/tf2xla/g3doc/cpu_supported_ops.md	4
tensorflow/compiler/tf2xla/g3doc/gpu_supported_ops.md	4
tensorflow/compiler/tf2xla/graph_compiler.cc	6
tensorflow/compiler/tf2xla/graph_compiler.h	6
tensorflow/compiler/tf2xla/host_compute_metadata.proto	1
tensorflow/compiler/tf2xla/kernels/BUILD	6
tensorflow/compiler/tf2xla/kernels/aggregate_ops.cc	6
tensorflow/compiler/tf2xla/kernels/arg_op.cc	6
tensorflow/compiler/tf2xla/kernels/assert_op.cc	1
tensorflow/compiler/tf2xla/kernels/batch_matmul_op.cc	6
tensorflow/compiler/tf2xla/kernels/batch_norm_op.cc	6
tensorflow/compiler/tf2xla/kernels/batchtospace_op.cc	6
tensorflow/compiler/tf2xla/kernels/bcast_ops.cc	6
tensorflow/compiler/tf2xla/kernels/bias_ops.cc	6
tensorflow/compiler/tf2xla/kernels/binary_ops.cc	6
tensorflow/compiler/tf2xla/kernels/broadcast_to_op.cc	1
tensorflow/compiler/tf2xla/kernels/bucketize_op.cc	4
tensorflow/compiler/tf2xla/kernels/cast_op.cc	6
tensorflow/compiler/tf2xla/kernels/categorical_op.cc	6
tensorflow/compiler/tf2xla/kernels/check_numerics_op.cc	1
tensorflow/compiler/tf2xla/kernels/cholesky_op.cc	3
tensorflow/compiler/tf2xla/kernels/clip_by_value_op.cc	5
tensorflow/compiler/tf2xla/kernels/concat_op.cc	6
tensorflow/compiler/tf2xla/kernels/const_op.cc	6
tensorflow/compiler/tf2xla/kernels/conv_ops.cc	6
tensorflow/compiler/tf2xla/kernels/cross_op.cc	5
tensorflow/compiler/tf2xla/kernels/cwise_ops.cc	6
tensorflow/compiler/tf2xla/kernels/cwise_ops.h	6
tensorflow/compiler/tf2xla/kernels/depthtospace_op.cc	6
tensorflow/compiler/tf2xla/kernels/diag_op.cc	6
tensorflow/compiler/tf2xla/kernels/dynamic_slice_ops.cc	5
tensorflow/compiler/tf2xla/kernels/dynamic_stitch_op.cc	6
tensorflow/compiler/tf2xla/kernels/elu_op.cc	6
tensorflow/compiler/tf2xla/kernels/extract_image_patches_op.cc	6
tensorflow/compiler/tf2xla/kernels/fake_quantize_ops.cc	6
tensorflow/compiler/tf2xla/kernels/fft_ops.cc	6
tensorflow/compiler/tf2xla/kernels/fill_op.cc	6
